type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_wine_datasulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_id,alcohol_content,good_or_bad
white,6.0,0.17,0.49,1.000,0.0340,26,106,0.99200,3.210,0.42,9.80,6,1579,low,bad
white,7.6,0.29,0.26,6.500,0.0420,32,160,0.99440,3.140,0.47,10.70,5,1580,medium-low,bad
white,7.2,0.29,0.20,7.700,0.0460,51,174,0.99582,3.160,0.52,9.50,5,1581,low,bad
white,7.3,0.26,0.49,5.000,0.0280,32,107,0.99360,3.240,0.54,10.80,6,1582,medium-low,bad
white,6.3,0.27,0.18,7.700,0.0480,45,186,0.99620,3.230,0.47,9.00,5,1583,low,bad
white,7.6,0.38,0.20,3.400,0.0460,9,116,0.99440,3.150,0.41,9.40,5,1584,low,bad
white,6.2,0.26,0.19,3.400,0.0490,47,172,0.99240,3.140,0.43,10.40,6,1585,medium-low,bad
white,5.5,0.14,0.27,4.600,0.0290,22,104,0.99490,3.340,0.44,9.00,5,1586,low,bad
white,7.3,0.21,0.21,1.600,0.0460,35,133,0.99466,3.380,0.46,10.00,6,1587,medium-low,bad
white,5.6,0.46,0.24,4.800,0.0420,24,72,0.99080,3.290,0.37,12.60,6,1588,medium,bad
white,7.1,0.18,0.74,15.600,0.0440,44,176,0.99960,3.380,0.67,9.00,6,1589,low,bad
white,8.7,0.24,0.35,0.600,0.0420,11,71,0.99260,3.080,0.38,10.60,5,1590,medium-low,bad
white,7.1,0.14,0.35,1.400,0.0390,24,128,0.99212,2.970,0.68,10.40,5,1591,medium-low,bad
white,6.7,0.30,0.45,10.600,0.0320,56,212,0.99700,3.220,0.59,9.50,6,1592,low,bad
white,7.2,0.15,0.38,1.200,0.0380,18,110,0.99170,3.190,0.43,11.10,6,1593,medium-low,bad
white,7.2,0.39,0.54,1.400,0.1570,34,132,0.99449,3.110,0.53,9.00,6,1594,low,bad
white,6.8,0.30,0.35,2.800,0.0380,10,164,0.99120,3.090,0.53,12.00,6,1595,medium,bad
white,7.6,0.48,0.28,10.400,0.0490,57,205,0.99748,3.240,0.45,9.30,5,1596,low,bad
white,5.5,0.14,0.27,4.600,0.0290,22,104,0.99490,3.340,0.44,9.00,5,1597,low,bad
white,7.2,0.39,0.54,1.400,0.1570,34,132,0.99449,3.110,0.53,9.00,6,1598,low,bad
white,5.6,0.13,0.27,4.800,0.0280,22,104,0.99480,3.340,0.45,9.20,6,1599,low,bad
white,7.2,0.50,0.00,0.800,0.0340,46,114,0.99320,3.190,0.34,9.20,4,1600,low,bad
white,7.6,0.48,0.28,10.400,0.0490,57,205,0.99748,3.240,0.45,9.30,5,1601,low,bad
white,6.0,0.26,0.29,1.000,0.0320,27,96,0.98960,3.380,0.44,12.30,6,1602,medium,bad
white,6.8,0.33,0.28,1.200,0.0320,38,131,0.98890,3.190,0.41,13.00,6,1603,medium,bad
white,7.4,0.18,0.34,2.700,0.0300,30,107,0.99200,2.970,0.53,11.00,6,1604,medium-low,bad
white,6.5,0.36,0.31,4.100,0.0610,20,134,0.99475,3.180,0.45,9.00,6,1605,low,bad
white,7.1,0.53,0.24,0.800,0.0290,29,86,0.99300,3.160,0.32,9.10,4,1606,low,bad
white,5.7,0.39,0.04,12.600,0.0340,22,115,0.99640,3.280,0.63,9.90,6,1607,low,bad
white,8.5,0.25,0.31,2.800,0.0320,11,61,0.99189,3.060,0.44,11.50,6,1608,medium,bad
white,7.2,0.16,0.49,1.300,0.0370,27,104,0.99240,3.230,0.57,10.60,6,1609,medium-low,bad
white,8.7,0.24,0.35,0.600,0.0420,11,71,0.99260,3.080,0.38,10.60,5,1610,medium-low,bad
white,6.9,0.30,0.21,15.700,0.0560,49,159,0.99827,3.110,0.48,9.00,5,1611,low,bad
white,7.3,0.14,0.49,1.100,0.0380,28,99,0.99280,3.200,0.72,10.60,6,1612,medium-low,bad
white,6.6,0.19,0.43,10.900,0.0450,53,154,0.99752,3.520,0.77,10.40,6,1613,medium-low,bad
white,8.9,0.13,0.49,1.000,0.0280,6,24,0.99260,2.910,0.32,9.90,5,1614,low,bad
white,6.9,0.30,0.21,15.700,0.0560,49,159,0.99827,3.110,0.48,9.00,5,1615,low,bad
white,8.3,0.33,0.43,9.200,0.0460,22,126,0.99820,3.380,0.47,9.30,5,1616,low,bad
white,6.8,0.34,0.44,6.600,0.0520,28,156,0.99550,3.140,0.41,9.60,5,1617,low,bad
white,7.9,0.12,0.49,5.200,0.0490,33,152,0.99520,3.180,0.47,10.60,6,1618,medium-low,bad
white,6.8,0.33,0.44,7.000,0.0500,29,155,0.99550,3.140,0.42,9.50,5,1619,low,bad
white,6.7,0.29,0.49,4.700,0.0340,35,156,0.99450,3.130,0.45,9.90,6,1620,low,bad
white,9.4,0.42,0.32,6.500,0.0270,20,167,0.99479,3.080,0.43,10.60,5,1621,medium-low,bad
white,6.6,0.19,0.43,10.900,0.0450,53,154,0.99752,3.520,0.77,10.40,6,1622,medium-low,bad
white,6.3,0.20,0.30,5.900,0.0340,35,152,0.99642,3.470,0.40,8.50,6,1623,low,bad
white,6.7,0.30,0.49,4.800,0.0340,36,158,0.99450,3.120,0.45,9.90,6,1624,low,bad
white,7.1,0.36,0.24,1.800,0.0250,32,102,0.99030,3.340,0.59,12.80,6,1625,medium,bad
white,6.8,0.21,0.27,18.150,0.0420,41,146,1.00010,3.300,0.36,8.70,5,1626,low,bad
white,6.8,0.21,0.27,18.150,0.0420,41,146,1.00010,3.300,0.36,8.70,5,1627,low,bad
white,8.5,0.19,0.56,17.300,0.0550,47,169,1.00047,3.070,0.67,9.30,6,1628,low,bad
white,8.5,0.15,0.49,1.500,0.0310,17,122,0.99320,3.030,0.40,10.30,6,1629,medium-low,bad
white,6.7,0.25,0.26,13.500,0.0600,50,156,0.99784,3.390,0.46,9.90,6,1630,low,bad
white,8.6,0.49,0.29,4.100,0.0260,19,101,0.99180,3.010,0.38,12.40,5,1631,medium,bad
white,8.6,0.49,0.29,4.100,0.0260,19,101,0.99180,3.010,0.38,12.40,5,1632,medium,bad
white,7.3,0.29,0.29,4.600,0.0290,27,155,0.99310,3.070,0.26,10.60,6,1633,medium-low,bad
white,6.8,0.21,0.27,18.150,0.0420,41,146,1.00010,3.300,0.36,8.70,5,1634,low,bad
white,6.8,0.30,0.35,2.800,0.0380,10,164,0.99120,3.090,0.53,12.00,6,1635,medium,bad
white,7.3,0.29,0.37,8.300,0.0440,45,227,0.99660,3.120,0.47,9.00,5,1636,low,bad
white,7.4,0.29,0.31,1.700,0.0350,23,110,0.99260,3.070,0.38,10.90,5,1637,medium-low,bad
white,7.3,0.19,0.24,6.300,0.0540,34,231,0.99640,3.360,0.54,10.00,6,1638,medium-low,bad
white,5.7,0.46,0.46,1.400,0.0400,31,169,0.99320,3.130,0.47,8.80,5,1639,low,bad
white,6.5,0.32,0.12,11.500,0.0330,35,165,0.99740,3.220,0.32,9.00,5,1640,low,bad
white,6.8,0.28,0.44,11.500,0.0400,58,223,0.99690,3.220,0.56,9.50,5,1641,low,bad
white,6.7,0.23,0.33,1.800,0.0360,23,96,0.99250,3.320,0.40,10.80,6,1642,medium-low,bad
white,7.1,0.32,0.40,1.500,0.0340,13,84,0.99440,3.420,0.60,10.40,5,1643,medium-low,bad
white,6.9,0.17,0.25,1.600,0.0470,34,132,0.99140,3.160,0.48,11.40,5,1644,medium-low,bad
white,6.5,0.32,0.12,11.500,0.0330,35,165,0.99740,3.220,0.32,9.00,5,1645,low,bad
white,7.6,0.18,0.36,2.400,0.0490,38,123,0.99600,3.600,0.46,10.30,5,1646,medium-low,bad
white,7.3,0.19,0.24,6.300,0.0540,34,231,0.99640,3.360,0.54,10.00,6,1647,medium-low,bad
white,7.3,0.17,0.23,6.300,0.0510,35,240,0.99630,3.360,0.54,10.00,6,1648,medium-low,bad
white,6.4,0.21,0.30,5.600,0.0440,43,160,0.99490,3.600,0.41,10.60,6,1649,medium-low,bad
white,6.6,0.22,0.28,4.900,0.0420,51,180,0.99520,3.300,0.75,9.50,6,1650,low,bad
white,7.8,0.27,0.28,1.800,0.0500,21,127,0.99340,3.150,0.44,9.90,5,1651,low,bad
white,8.0,0.55,0.42,12.600,0.2110,37,213,0.99880,2.990,0.56,9.30,5,1652,low,bad
white,7.7,0.28,0.29,4.300,0.0510,25,142,0.99390,3.160,0.39,10.20,5,1653,medium-low,bad
white,7.9,0.18,0.49,5.200,0.0510,36,157,0.99530,3.180,0.48,10.60,6,1654,medium-low,bad
white,7.6,0.29,0.29,4.400,0.0510,26,146,0.99390,3.160,0.39,10.20,5,1655,medium-low,bad
white,6.6,0.19,0.99,1.200,0.1220,45,129,0.99360,3.090,0.31,8.70,6,1656,low,bad
white,7.0,0.19,0.23,5.700,0.1230,27,104,0.99540,3.040,0.54,9.40,6,1657,low,bad
white,5.7,0.32,0.18,1.400,0.0290,26,104,0.99060,3.440,0.37,11.00,6,1658,medium-low,bad
white,6.5,0.34,0.36,11.000,0.0520,53,247,0.99840,3.440,0.55,9.30,6,1659,low,bad
white,6.2,0.25,0.28,8.500,0.0350,28,108,0.99486,3.400,0.42,10.40,6,1660,medium-low,bad
white,7.0,0.19,0.23,5.700,0.1230,27,104,0.99540,3.040,0.54,9.40,6,1661,low,bad
white,6.1,0.46,0.32,6.200,0.0530,10,94,0.99537,3.350,0.47,10.10,5,1662,medium-low,bad
white,7.3,0.34,0.30,1.300,0.0570,25,173,0.99480,3.260,0.51,9.10,6,1663,low,bad
white,6.9,0.18,0.33,1.000,0.0540,24,164,0.99260,3.420,0.51,10.50,5,1664,medium-low,bad
white,8.2,0.18,0.31,11.800,0.0390,96,249,0.99760,3.070,0.52,9.50,6,1665,low,bad
white,7.5,0.29,0.26,14.950,0.0670,47,178,0.99838,3.040,0.49,9.20,4,1666,low,bad
white,7.6,0.23,0.49,10.000,0.0360,45,182,0.99670,3.080,0.58,9.60,6,1667,low,bad
white,6.5,0.19,0.26,5.200,0.0400,31,140,0.99500,3.260,0.68,9.50,6,1668,low,bad
white,6.7,0.31,0.18,7.700,0.0430,57,200,0.99566,3.170,0.44,9.40,6,1669,low,bad
white,6.6,0.23,0.27,5.600,0.0430,43,164,0.99530,3.270,0.76,9.50,5,1670,low,bad
white,7.9,0.18,0.49,5.200,0.0510,36,157,0.99530,3.180,0.48,10.60,6,1671,medium-low,bad
white,6.6,0.27,0.29,5.300,0.0450,57,189,0.99530,3.310,0.79,9.80,5,1672,low,bad
white,8.3,0.28,0.45,7.800,0.0590,32,139,0.99720,3.330,0.77,11.20,6,1673,medium-low,bad
white,7.4,0.14,0.30,1.300,0.0330,25,91,0.99268,3.530,0.39,10.60,6,1674,medium-low,bad
white,6.2,0.43,0.49,6.400,0.0450,12,115,0.99630,3.270,0.57,9.00,4,1675,low,bad
white,6.6,0.22,0.28,4.900,0.0420,51,180,0.99520,3.300,0.75,9.50,6,1676,low,bad
white,6.1,0.34,0.46,4.700,0.0290,21,94,0.99100,3.290,0.62,12.30,6,1677,medium,bad
white,7.4,0.44,0.20,11.500,0.0490,44,157,0.99800,3.270,0.44,9.00,5,1678,low,bad
white,6.7,0.31,0.18,7.700,0.0430,57,200,0.99566,3.170,0.44,9.40,6,1679,low,bad
white,8.8,0.35,0.49,1.000,0.0360,14,56,0.99200,2.960,0.33,10.50,4,1680,medium-low,bad
white,7.6,0.26,0.58,7.900,0.0410,62,180,0.99660,3.070,0.38,9.00,5,1681,low,bad
white,7.6,0.18,0.36,2.400,0.0490,38,123,0.99600,3.600,0.46,10.30,5,1682,medium-low,bad
white,7.1,0.40,0.52,1.300,0.1480,45,149,0.99468,3.080,0.56,8.70,5,1683,low,bad
white,7.8,0.30,0.74,1.800,0.0330,33,156,0.99100,3.290,0.52,12.80,6,1684,medium,bad
white,7.4,0.44,0.20,11.500,0.0490,44,157,0.99800,3.270,0.44,9.00,5,1685,low,bad
white,6.8,0.36,0.32,1.600,0.0390,10,124,0.99480,3.300,0.67,9.60,5,1686,low,bad
white,6.4,0.16,0.25,1.300,0.0470,20,77,0.99330,3.610,0.54,10.20,6,1687,medium-low,bad
white,9.1,0.28,0.49,2.000,0.0590,10,112,0.99580,3.150,0.46,10.10,5,1688,medium-low,bad
white,6.3,0.16,0.22,1.300,0.0460,18,66,0.99307,3.610,0.55,10.30,6,1689,medium-low,bad
white,7.8,0.30,0.74,1.800,0.0330,33,156,0.99100,3.290,0.52,12.80,6,1690,medium,bad
white,8.7,0.49,0.57,17.800,0.0520,34,243,1.00070,2.980,0.82,9.00,5,1691,low,bad
white,7.0,0.22,0.39,2.100,0.0550,39,198,0.99510,3.520,0.54,10.20,6,1692,medium-low,bad
white,7.4,0.33,0.26,15.600,0.0490,67,210,0.99907,3.060,0.68,9.50,5,1693,low,bad
white,5.9,0.17,0.30,1.400,0.0420,25,119,0.99310,3.680,0.72,10.50,6,1694,medium-low,bad
white,7.4,0.45,0.32,7.100,0.0440,17,117,0.99620,3.320,0.41,10.40,4,1695,medium-low,bad
white,9.1,0.28,0.49,2.000,0.0590,10,112,0.99580,3.150,0.46,10.10,5,1696,medium-low,bad
white,7.0,0.24,0.25,1.700,0.0420,48,189,0.99200,3.250,0.42,11.40,6,1697,medium-low,bad
white,6.1,0.34,0.46,4.700,0.0290,21,94,0.99100,3.290,0.62,12.30,6,1698,medium,bad
white,8.3,0.27,0.39,2.400,0.0580,16,107,0.99550,3.280,0.59,10.30,5,1699,medium-low,bad
white,7.4,0.33,0.26,15.600,0.0490,67,210,0.99907,3.060,0.68,9.50,5,1700,low,bad
white,8.5,0.19,0.49,3.500,0.0440,29,117,0.99380,3.140,0.51,10.10,6,1701,medium-low,bad
white,8.0,0.22,0.28,14.000,0.0530,83,197,0.99810,3.140,0.45,9.80,6,1702,low,bad
white,7.4,0.33,0.26,15.600,0.0490,67,210,0.99907,3.060,0.68,9.50,5,1703,low,bad
white,7.6,0.18,0.49,18.050,0.0460,36,158,0.99960,3.060,0.41,9.20,5,1704,low,bad
white,7.4,0.33,0.26,15.600,0.0490,67,210,0.99907,3.060,0.68,9.50,5,1705,low,bad
white,7.5,0.19,0.49,1.800,0.0550,19,110,0.99460,3.330,0.44,9.90,5,1706,low,bad
white,8.9,0.34,0.34,1.600,0.0560,13,176,0.99460,3.140,0.47,9.70,5,1707,low,bad
white,7.4,0.30,0.49,8.200,0.0550,49,188,0.99740,3.520,0.58,9.70,6,1708,low,bad
white,6.6,0.41,0.24,4.900,0.1580,47,144,0.99471,3.170,0.49,9.40,5,1709,low,bad
white,8.9,0.33,0.34,1.400,0.0560,14,171,0.99460,3.130,0.47,9.70,5,1710,low,bad
white,6.7,0.30,0.74,5.000,0.0380,35,157,0.99450,3.210,0.46,9.90,5,1711,low,bad
white,6.7,0.43,0.23,5.000,0.1570,49,145,0.99471,3.170,0.49,9.40,5,1712,low,bad
white,8.0,0.22,0.28,14.000,0.0530,83,197,0.99810,3.140,0.45,9.80,6,1713,low,bad
white,7.4,0.33,0.26,15.600,0.0490,67,210,0.99907,3.060,0.68,9.50,5,1714,low,bad
white,6.7,0.18,0.19,4.700,0.0460,57,161,0.99460,3.320,0.66,10.50,6,1715,medium-low,bad
white,6.6,0.30,0.74,4.600,0.0410,36,159,0.99460,3.210,0.45,9.90,5,1716,low,bad
white,7.8,0.20,0.28,10.200,0.0540,78,186,0.99700,3.140,0.46,10.00,6,1717,medium-low,bad
white,7.4,0.30,0.49,8.200,0.0550,49,188,0.99740,3.520,0.58,9.70,6,1718,low,bad
white,8.6,0.17,0.28,2.700,0.0470,38,150,0.99365,3.100,0.56,10.80,6,1719,medium-low,bad
white,6.9,0.22,0.49,7.000,0.0630,50,168,0.99570,3.540,0.50,10.30,6,1720,medium-low,bad
white,6.5,0.32,0.23,1.200,0.0540,39,208,0.99272,3.180,0.46,9.90,6,1721,low,bad
white,7.8,0.26,0.49,3.100,0.0450,21,116,0.99310,3.160,0.35,10.30,5,1722,medium-low,bad
white,6.6,0.28,0.30,7.800,0.0490,57,202,0.99580,3.240,0.39,9.50,5,1723,low,bad
white,7.5,0.42,0.19,6.900,0.0410,62,150,0.99508,3.230,0.37,10.00,6,1724,medium-low,bad
white,8.5,0.17,0.49,8.800,0.0480,23,108,0.99470,2.880,0.34,10.50,4,1725,medium-low,bad
white,7.1,0.25,0.30,2.400,0.0420,25,122,0.99400,3.430,0.61,10.50,6,1726,medium-low,bad
white,6.5,0.29,0.42,10.600,0.0420,66,202,0.99674,3.240,0.53,9.50,6,1727,low,bad
white,7.6,0.36,0.44,8.300,0.2550,28,142,0.99580,3.120,0.43,10.20,6,1728,medium-low,bad
white,6.8,0.17,0.74,2.400,0.0530,61,182,0.99530,3.630,0.76,10.50,6,1729,medium-low,bad
white,7.6,0.27,0.25,13.900,0.0500,45,199,0.99840,3.340,0.50,9.80,6,1730,low,bad
white,6.6,0.22,0.28,12.050,0.0580,25,125,0.99856,3.450,0.45,9.40,5,1731,low,bad
white,6.9,0.37,0.28,13.800,0.0310,34,137,0.99480,3.100,0.37,11.60,6,1732,medium,bad
white,6.0,0.26,0.18,7.000,0.0550,50,194,0.99591,3.210,0.43,9.00,5,1733,low,bad
white,6.2,0.27,0.49,1.400,0.0500,20,74,0.99310,3.320,0.44,9.80,6,1734,low,bad
white,6.8,0.36,0.32,1.600,0.0390,10,124,0.99480,3.300,0.67,9.60,5,1735,low,bad
white,7.1,0.64,0.49,1.800,0.0500,17,128,0.99460,3.310,0.58,10.60,4,1736,medium-low,bad
white,7.5,0.42,0.14,10.700,0.0460,18,95,0.99590,3.220,0.33,10.70,5,1737,medium-low,bad
white,6.4,0.18,0.74,11.900,0.0460,54,168,0.99780,3.580,0.68,10.10,5,1738,medium-low,bad
white,6.3,0.19,0.21,1.800,0.0490,35,163,0.99240,3.310,0.50,10.30,6,1739,medium-low,bad
white,6.9,0.44,0.18,11.800,0.0510,26,126,0.99750,3.230,0.48,9.10,5,1740,low,bad
white,7.5,0.33,0.32,11.100,0.0360,25,119,0.99620,3.150,0.34,10.50,6,1741,medium-low,bad
white,7.6,0.31,0.49,13.400,0.0620,50,191,0.99890,3.220,0.53,9.00,4,1742,low,bad
white,7.0,0.21,0.22,5.100,0.0480,38,168,0.99450,3.340,0.49,10.40,6,1743,medium-low,bad
white,7.5,0.42,0.20,1.400,0.0600,15,168,0.99440,3.060,0.40,9.40,6,1744,low,bad
white,5.8,0.33,0.20,16.050,0.0470,26,166,0.99760,3.090,0.46,8.90,5,1745,low,bad
white,5.6,0.30,0.20,2.200,0.0490,18,134,0.99378,3.210,0.68,10.00,5,1746,medium-low,bad
white,9.4,0.30,0.32,10.700,0.0290,14,111,0.99580,2.850,0.42,10.60,5,1747,medium-low,bad
white,9.8,0.31,0.49,15.400,0.0460,13,119,1.00040,3.180,0.45,9.50,5,1748,low,bad
white,5.8,0.33,0.20,16.050,0.0470,26,166,0.99760,3.090,0.46,8.90,5,1749,low,bad
white,9.0,0.30,0.49,7.200,0.0390,32,84,0.99380,2.940,0.32,11.50,6,1750,medium,bad
white,7.9,0.17,0.32,1.600,0.0530,47,150,0.99480,3.290,0.76,9.60,6,1751,low,bad
white,6.8,0.21,0.55,14.600,0.0530,34,159,0.99805,2.930,0.44,9.20,5,1752,low,bad
white,9.4,0.28,0.30,1.600,0.0450,36,139,0.99534,3.110,0.49,9.30,5,1753,low,bad
white,7.9,0.17,0.32,1.600,0.0530,47,150,0.99480,3.290,0.76,9.60,6,1754,low,bad
white,6.4,0.18,0.74,11.900,0.0460,54,168,0.99780,3.580,0.68,10.10,5,1755,medium-low,bad
white,8.1,0.28,0.34,1.300,0.0350,11,126,0.99232,3.140,0.50,9.80,6,1756,low,bad
white,8.2,0.17,0.32,1.500,0.0500,17,101,0.99400,3.140,0.58,9.50,5,1757,low,bad
white,6.4,0.25,0.74,7.800,0.0450,52,209,0.99560,3.210,0.42,9.20,6,1758,low,bad
white,8.3,0.17,0.31,1.500,0.0490,48,153,0.99420,3.120,0.58,9.40,6,1759,low,bad
white,7.3,0.30,0.74,13.500,0.0390,46,165,0.99820,3.020,0.40,8.70,5,1760,low,bad
white,6.8,0.21,0.55,14.600,0.0530,34,159,0.99805,2.930,0.44,9.20,5,1761,low,bad
white,8.7,0.15,0.30,1.600,0.0460,29,130,0.99420,3.220,0.38,9.80,6,1762,low,bad
white,9.4,0.28,0.30,1.600,0.0450,36,139,0.99534,3.110,0.49,9.30,5,1763,low,bad
white,9.3,0.31,0.49,1.300,0.0420,34,147,0.99480,3.110,0.46,9.80,5,1764,low,bad
white,6.4,0.27,0.19,1.900,0.0850,21,196,0.99516,3.490,0.64,9.50,4,1765,low,bad
white,7.0,0.19,0.33,6.300,0.0320,42,127,0.99182,3.310,0.38,12.20,6,1766,medium,bad
white,6.4,0.25,0.74,7.800,0.0450,52,209,0.99560,3.210,0.42,9.20,6,1767,low,bad
white,7.9,0.17,0.32,1.600,0.0530,47,150,0.99480,3.290,0.76,9.60,6,1768,low,bad
white,7.0,0.23,0.42,5.100,0.0420,37,144,0.99518,3.500,0.59,10.20,6,1769,medium-low,bad
white,7.7,0.42,0.38,8.100,0.0610,49,144,0.99660,3.400,0.58,11.00,6,1770,medium-low,bad
white,7.3,0.30,0.74,13.500,0.0390,46,165,0.99820,3.020,0.40,8.70,5,1771,low,bad
white,6.7,0.26,0.29,5.800,0.0250,26,74,0.99290,3.280,0.53,11.00,6,1772,medium-low,bad
white,7.5,0.24,0.62,10.600,0.0450,51,153,0.99779,3.160,0.44,8.80,5,1773,low,bad
white,7.2,0.25,0.19,8.000,0.0440,51,172,0.99640,3.160,0.44,9.20,5,1774,low,bad
white,7.6,0.20,0.68,12.900,0.0420,56,160,0.99841,3.050,0.41,8.70,5,1775,low,bad
white,7.5,0.26,0.59,11.800,0.0460,58,164,0.99814,3.170,0.46,8.90,4,1776,low,bad
white,7.2,0.24,0.19,7.700,0.0450,53,176,0.99580,3.170,0.38,9.50,5,1777,low,bad
white,7.0,0.27,0.74,1.500,0.0360,27,122,0.99260,3.350,0.48,11.20,6,1778,medium-low,bad
white,6.9,0.30,0.29,1.300,0.0530,24,189,0.99362,3.290,0.54,9.90,4,1779,low,bad
white,5.3,0.76,0.03,2.700,0.0430,27,93,0.99320,3.340,0.38,9.20,5,1780,low,bad
white,7.9,0.14,0.74,1.200,0.0280,30,165,0.99100,3.080,0.82,12.30,6,1781,medium,bad
white,6.9,0.30,0.30,1.300,0.0530,24,186,0.99361,3.290,0.54,9.90,4,1782,low,bad
white,8.0,0.20,0.30,8.100,0.0370,42,130,0.99379,3.100,0.67,11.80,6,1783,medium,bad
white,6.6,0.22,0.53,15.100,0.0520,22,136,0.99860,2.940,0.35,9.40,5,1784,low,bad
white,7.6,0.21,0.35,1.200,0.0410,7,106,0.99140,3.060,0.45,11.30,4,1785,medium-low,bad
white,6.6,0.22,0.53,15.100,0.0520,22,136,0.99860,2.940,0.35,9.40,5,1786,low,bad
white,6.4,0.12,0.49,6.400,0.0420,49,161,0.99450,3.340,0.44,10.40,6,1787,medium-low,bad
white,6.5,0.24,0.29,8.200,0.0430,32,156,0.99453,3.130,0.70,10.10,6,1788,medium-low,bad
white,4.6,0.45,0.00,1.400,0.0530,11,178,0.99426,3.790,0.55,10.20,5,1789,medium-low,bad
white,6.8,0.21,0.74,1.200,0.0470,25,111,0.99160,3.130,0.41,10.70,6,1790,medium-low,bad
white,6.4,0.17,0.34,1.500,0.0930,43,136,0.99380,3.250,0.49,9.60,6,1791,low,bad
white,6.1,0.41,0.04,1.300,0.0360,23,121,0.99228,3.240,0.61,9.90,6,1792,low,bad
white,8.6,0.16,0.49,7.300,0.0430,9,63,0.99530,3.130,0.59,10.50,6,1793,medium-low,bad
white,6.3,0.70,0.55,12.900,0.0560,58,252,0.99806,3.290,0.49,8.70,5,1794,low,bad
white,8.4,0.28,0.40,8.900,0.0480,33,146,0.99880,3.400,0.46,9.30,5,1795,low,bad
white,7.6,0.20,0.34,1.800,0.0410,42,148,0.99335,3.350,0.66,11.10,6,1796,medium-low,bad
white,7.0,0.29,0.49,3.800,0.0470,37,136,0.99380,2.950,0.40,9.40,6,1797,low,bad
white,7.0,0.27,0.29,3.900,0.0590,28,199,0.99610,3.540,0.59,10.30,5,1798,medium-low,bad
white,6.8,0.32,0.34,6.000,0.0500,5,129,0.99530,3.190,0.40,9.10,5,1799,low,bad
white,6.9,0.30,0.21,7.200,0.0450,54,190,0.99595,3.220,0.48,9.40,5,1800,low,bad
white,8.4,0.30,0.25,17.750,0.0470,25,218,1.00016,2.980,0.66,9.10,5,1801,low,bad
white,7.0,0.35,0.17,1.100,0.0490,7,119,0.99297,3.130,0.36,9.70,6,1802,low,bad
white,6.7,0.24,0.33,12.300,0.0460,31,145,0.99830,3.360,0.40,9.50,5,1803,low,bad
white,6.5,0.19,0.27,4.900,0.0370,13,101,0.99160,3.170,0.41,11.80,6,1804,medium,bad
white,7.4,0.18,0.36,13.100,0.0560,72,163,1.00000,3.420,0.35,9.10,6,1805,low,bad
white,8.0,0.36,0.39,1.600,0.0240,26,93,0.99116,3.150,0.49,11.90,6,1806,medium,bad
white,6.0,0.16,0.30,6.700,0.0430,43,153,0.99510,3.630,0.46,10.60,5,1807,medium-low,bad
white,6.1,0.16,0.24,1.400,0.0460,17,77,0.99319,3.660,0.57,10.30,6,1808,medium-low,bad
white,6.9,0.35,0.55,11.950,0.0380,22,111,0.99687,3.110,0.29,9.70,5,1809,low,bad
white,9.2,0.19,0.42,2.000,0.0470,16,104,0.99517,3.090,0.66,10.00,4,1810,medium-low,bad
white,7.0,0.35,0.17,1.100,0.0490,7,119,0.99297,3.130,0.36,9.70,6,1811,low,bad
white,6.7,0.24,0.33,12.300,0.0460,31,145,0.99830,3.360,0.40,9.50,5,1812,low,bad
white,9.2,0.16,0.49,2.000,0.0440,18,107,0.99514,3.100,0.53,10.20,4,1813,medium-low,bad
white,6.9,0.35,0.55,11.950,0.0380,22,111,0.99687,3.110,0.29,9.70,5,1814,low,bad
white,8.0,0.26,0.28,8.200,0.0380,72,202,0.99566,3.120,0.56,10.00,6,1815,medium-low,bad
white,7.6,0.30,0.40,2.200,0.0540,29,175,0.99445,3.190,0.53,9.80,5,1816,low,bad
white,7.0,0.34,0.39,6.900,0.0660,43,162,0.99561,3.110,0.53,9.50,5,1817,low,bad
white,8.8,0.33,0.36,2.100,0.0340,19,125,0.99166,2.960,0.98,12.70,6,1818,medium,bad
white,7.5,0.38,0.29,12.700,0.0500,25,209,0.99860,3.250,0.59,9.30,6,1819,low,bad
white,6.4,0.68,0.26,3.400,0.0690,25,146,0.99347,3.180,0.40,9.30,5,1820,low,bad
white,6.8,0.28,0.35,2.300,0.0420,16,85,0.99060,3.190,0.56,12.40,6,1821,medium,bad
white,9.8,0.16,0.46,1.800,0.0460,23,130,0.99587,3.040,0.67,9.60,5,1822,low,bad
white,6.4,0.28,0.27,11.000,0.0420,45,148,0.99786,3.140,0.46,8.70,5,1823,low,bad
white,6.2,0.34,0.30,11.100,0.0470,28,237,0.99810,3.180,0.49,8.70,5,1824,low,bad
white,6.6,0.23,0.18,8.500,0.0440,59,188,0.99558,3.160,0.49,9.50,5,1825,low,bad
white,7.5,0.30,0.32,1.400,0.0320,31,161,0.99154,2.950,0.42,10.50,5,1826,medium-low,bad
white,6.9,0.40,0.22,5.950,0.0810,76,303,0.99705,3.400,0.57,9.40,5,1827,low,bad
white,6.0,0.27,0.15,1.500,0.0560,35,128,0.99360,3.120,0.45,8.80,5,1828,low,bad
white,7.9,0.44,0.26,4.450,0.0330,23,100,0.99117,3.170,0.52,12.70,6,1829,medium,bad
white,6.8,0.19,0.23,5.100,0.0340,71,204,0.99420,3.230,0.69,10.10,5,1830,medium-low,bad
